n,gamma,a1_re,a1_im
357,474.862403416340,2.02156494e+01,1.60762458e+01
358,476.106908836422,4.57975926e+00,1.29992661e+01
359,477.524504888667,-6.03875844e+00,1.48932759e+01
360,478.585174878090,-2.18096355e+00,1.95313322e+01
361,479.563790858924,3.91058820e+00,1.56776571e+01
362,480.853431155415,-1.06055902e+01,1.60327582e+01
363,481.635725155084,5.71545664e+00,2.42024495e+01
364,482.560089556220,1.21778287e+01,1.17926784e+01
365,484.373451762986,-1.69354699e+01,1.17098374e+01
366,485.024407684857,7.37599956e+00,2.12419665e+01
367,486.433852215022,-2.36967335e+01,2.15589236e+01
368,486.860821172527,2.75876588e+01,1.76090471e+01
369,488.201746375389,4.36347408e+00,1.29227933e+01
370,489.727584131497,-1.06328027e+01,1.36895365e+01
371,490.725911864197,-8.35901672e+00,2.55490709e+01
372,491.381656786790,1.56714950e+01,1.33920291e+01
373,493.008423782597,-2.38709114e+01,1.61636279e+01
374,493.482083562986,2.31222331e+01,2.16343444e+01
375,494.840881854819,3.59314435e+00,1.38365440e+01
376,496.264596172215,-7.58541084e+00,1.29437214e+01
377,497.514650230783,-5.48657228e+01,2.35493786e+01
378,497.764550541258,5.55549714e+01,2.21105902e+01
379,499.021411746317,7.96221408e+00,1.22915092e+01
380,500.597773931526,-1.00804295e+01,1.45239576e+01
381,501.470600996472,2.95512400e+00,1.95472183e+01
382,502.775458195536,-1.04143543e+01,1.86431791e+01
383,503.466430549622,9.69192090e+00,1.90418246e+01
384,504.654124961431,6.76097379e-01,1.74488920e+01
385,505.739139439563,2.97167568e+00,1.74014777e+01
386,506.940053081678,6.74388550e-01,1.53193268e+01
387,508.298673685162,-1.34106725e+01,1.54783085e+01
388,509.017744547113,4.34563915e+00,2.24046116e+01
389,510.163388567594,-4.56108941e+00,2.67202568e+01
390,510.789757306407,2.06394527e+01,8.29057282e+00
391,512.829907982420,-2.19323462e+01,7.15420152e+00
392,513.523603253455,-2.82418247e+00,3.51018682e+01
393,514.223717529729,1.80963057e+01,1.26296235e+01
394,515.800889499231,-1.59711937e+01,1.63048875e+01
395,516.411584547120,1.48278557e+01,2.10883805e+01
396,517.735975415498,1.82575166e+00,1.56558839e+01
397,519.016986672415,-4.61001740e+00,1.52923182e+01
398,520.167292715260,-1.32918296e+01,1.91486385e+01
399,520.872667783021,8.05756718e+00,2.49366168e+01
400,521.841481363615,1.00159086e+01,1.61504834e+01
